ID,parent_id,collection,uuid,date_accessioned,date_available,date issued,identifier_other,identifier_uri,description,language,publisher,relation,rights,subject,title,type,model,media_use,mimetype,sequence_id,display,file
1,,Graphic & Pictorial Collection,3285513f-ea01-458f-a089-446e2493f255,2018-04-10T00:24:56Z,2018-04-10T00:24:56Z,approximately early 1930s,jhu_coll-0002_10716,http://jhir.library.jhu.edu/handle/1774.2/47569,sitting | waist up | full frontal view,en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the full Johns Hopkins University graphic and pictorial collection at http://aspace.library.jhu.edu/repositories/3/resources/1099.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",people (agents),"Jacobson, Abe Clifford",image,Image,Original File,image/jpeg,,Open Seadragon,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/jhu_coll-0002_10716.jpg
2,,Graphic & Pictorial Collection,7ba72efa-0b7c-409c-9041-2c03a31e0d1a,2018-04-10T00:25:14Z,2018-04-10T00:25:14Z,approximately 1999,jhu_coll-0002_14833,http://jhir.library.jhu.edu/handle/1774.2/47599,SLAC | Outdoor Rally | Speaker & Crowd | Color,en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the full Johns Hopkins University graphic and pictorial collection at http://aspace.library.jhu.edu/repositories/3/resources/1099.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",Universities and colleges--Social aspects,Student Labor Action Committee [SLAC] | Student Activities,image,Image,Original File,image/jpeg,,Open Seadragon,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/jhu_coll-0002_14833.jpg
3,,Graphic & Pictorial Collection,ab1d29ea-1d7a-437e-bdbf-5a0afc1a4526,2018-04-10T00:25:01Z,2018-04-10T00:25:01Z,approximately early 1930s,jhu_coll-0002_10681,http://jhir.library.jhu.edu/handle/1774.2/47579,sitting | waist up | full frontal view,en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the full Johns Hopkins University graphic and pictorial collection at http://aspace.library.jhu.edu/repositories/3/resources/1099.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",people (agents),"Koether, George Henry Jr.",image,Image,Original File,image/jpeg,,Open Seadragon,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/jhu_coll-0002_10681.jpg
4,,Graphic & Pictorial Collection,ee7c7406-9794-4b50-879a-5dadf0e3ac11,2018-04-10T00:25:23Z,2018-04-10T00:25:23Z,approximately 1999,jhu_coll-0002_14876,http://jhir.library.jhu.edu/handle/1774.2/47607,SLAC | Christmas Events | Living Wage Tree | Close-up of Ornament | Color,en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the full Johns Hopkins University graphic and pictorial collection at http://aspace.library.jhu.edu/repositories/3/resources/1099.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",Universities and colleges--Social aspects,Student Labor Action Committee [SLAC] | Student Activities,image,Image,Original File,image/jpeg,,Open Seadragon,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/jhu_coll-0002_14876.jpg
5,,Graphic & Pictorial Collection,fe52f00b-1379-49f9-a64d-0e33a83c718d,2018-04-10T00:26:22Z,2018-04-10T00:26:22Z,approximately 1994,jhu_coll-0002_14592,http://jhir.library.jhu.edu/handle/1774.2/47661,"Contact sheet of 37 images taken during the Spring Fair. Including performers, face painters, Gilman Hall, and random people",en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the full Johns Hopkins University graphic and pictorial collection at http://aspace.library.jhu.edu/repositories/3/resources/1099.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",Universities and colleges--Social aspects,Spring Fair,image,Image,Original File,image/jpeg,,Open Seadragon,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/jhu_coll-0002_14592.jpg
6,,Graphic & Pictorial Collection,99122da9-495a-46f8-994f-cc7c39efe1e4,2018-04-10T02:25:49Z,2018-04-10T02:25:49Z,1932,jhu_coll-0002_10639,http://jhir.library.jhu.edu/handle/1774.2/57645,sitting | waist up | full frontal view,en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the full Johns Hopkins University graphic and pictorial collection at http://aspace.library.jhu.edu/repositories/3/resources/1099.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",people (agents),"Jandorf, R. Donald",image,Image,Original File,image/jpeg,,Open Seadragon,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/jhu_coll-0002_10639.jpg
7,,Graphic & Pictorial Collection,d70511f9-5f60-46df-ab58-4b0f065ac481,2018-04-10T02:24:45Z,2018-04-10T02:24:45Z,1932,jhu_coll-0002_09471,http://jhir.library.jhu.edu/handle/1774.2/57527,Portrait of Claggett at approximately 20 years old.,en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the full Johns Hopkins University graphic and pictorial collection at http://aspace.library.jhu.edu/repositories/3/resources/1099.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",people (agents),"Photograph of Thomas John Claggett, Jr.",image,Image,Original File,image/jpeg,,Open Seadragon,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/jhu_coll-0002_09471.jpg
8,,Graphic & Pictorial Collection,3cf8733c-e8e4-4d84-aade-58cc704eebac,2018-04-10T02:25:22Z,2018-04-10T02:25:22Z,1932,jhu_coll-0002_11831,http://jhir.library.jhu.edu/handle/1774.2/57594,Portrait of Hall at approximately 22 years old.,en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the full Johns Hopkins University graphic and pictorial collection at http://aspace.library.jhu.edu/repositories/3/resources/1099.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",people (agents),Photographic negative of Lewis Benjamin Hall,image,Image,Original File,image/jpeg,,Open Seadragon,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/jhu_coll-0002_11831.jpg
9,,Graphic & Pictorial Collection,6b3836d0-ef4c-4795-a8d1-903c97d1dc47,2018-04-10T00:22:45Z,2018-04-10T00:22:45Z,approximately late 1920s,jhu_coll-0002_12620,http://jhir.library.jhu.edu/handle/1774.2/47289,Portrait of Helm at approximately 20 years old.,en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the full Johns Hopkins University graphic and pictorial collection at http://aspace.library.jhu.edu/repositories/3/resources/1099.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",people (agents),Photograph of Oscar Joseph Leslie Helm,image,Image,Original File,image/jpeg,,Open Seadragon,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/jhu_coll-0002_12620.jpg
10,,Graphic & Pictorial Collection,50a36f34-0391-4c42-872b-53e889bd31e7,2018-04-10T00:24:18Z,2018-04-10T00:24:18Z,approximately late 1920s,jhu_coll-0002_12781,http://jhir.library.jhu.edu/handle/1774.2/47494,Portrait of Kemp at approximately 40 years old.,en_US,Johns Hopkins University Sheridan Libraries,Access the finding aid for the full Johns Hopkins University graphic and pictorial collection at http://aspace.library.jhu.edu/repositories/3/resources/1099.,"Single copies may be made for research purposes. Researchers are responsible for determining any copyright questions. It is not necessary to seek our permission as the owner of the physical work to publish or otherwise use public domain materials that we have made available for use, unless Johns Hopkins University holds the copyright. If you are the copyright owner of this content and wish to contact us regarding our choice to provide access to this material online, please visit our takedown policy at https://www.library.jhu.edu/policy/digital-collections-statement-use-takedown-policy/.",people (agents),Photograph of Grace Virginia Kemp,image,Image,Original File,image/jpeg,,Open Seadragon,/var/www/html/drupal/web/modules/contrib/jhu_ingest_csv/data/binaries/jhu_coll-0002_12781.jpg
